Gene	C	Z	Pval	FDR
COASY	0.002356591180523054	2.0247484298816913	0.02144660145440439	0.026390403758495967
PRPF19	0.002210710928558209	2.024083101200304	0.021480801025548037	0.026410820933050864
ECPAS	0.0018935339030407936	2.020091455668733	0.021686950987670137	0.026642445930798696
AXIN1	0.001988303856806299	2.019335041485082	0.02172620406423977	0.026668826592765673
ZMYM1	0.002437311316384332	2.014267740291199	0.021990715495701543	0.026971441736346944
NCSTN	0.002051485791472715	2.0088581027527175	0.022276092137771424	0.027299132521778707
UGDH	0.0020001968582119426	2.006673118741154	0.022392240050206562	0.027419069449232527
RC3H1	0.0016549521732979328	2.0037084145690347	0.022550652187518897	0.027590520620944817
ISOC2	0.0020249719516887265	1.9957715320739524	0.022979398416094674	0.028092174102805227
ELK4	0.0017150827649672518	1.9913303120340822	0.023222292547020146	0.028365992524861744
BRD3	0.0019626441544639164	1.9842179949410905	0.02361577166786452	0.028823155005530333
PON2	0.002278853572808317	1.9816878774543543	0.023757092412747448	0.028972063917984694
DNAJB2	0.0019104126054288796	1.9772649353441762	0.02400584550650993	0.029251639528647354
CDC73	0.001944996117445216	1.9724643382357747	0.02427831173424092	0.029559632793312807
LTBR	0.0018521554773207277	1.9607972627332042	0.024951338750944612	0.030354426704312182
AP3D1	0.0017003711625334977	1.9545877591181775	0.02531587364290647	0.030772942029464914
ERLIN2	0.0021031389567002117	1.9464659031242666	0.02579939993562474	0.03133530356553612
RNF38	0.0018176024295505906	1.942319658403737	0.026049207313554635	0.03161311567178961
AAR2	0.0021450819087637536	1.940320514407018	0.026170374882539635	0.031734488539862125
BLOC1S2	0.0021469479814244462	1.9272047637468774	0.026977058268813307	0.032686257999369916
TMA16	0.002159537898180494	1.9257072604881835	0.027070468403044303	0.03277296416833451
CDC42	0.0018271102890672836	1.908273403425836	0.028177944342955473	0.034072706601124166
POLR2G	0.0021504041973834853	1.9080947445326155	0.028189485927996725	0.034072706601124166
GHITM	0.00197449990402747	1.9032383345728183	0.02850472658113596	0.03442599828639609
IRF4	0.0009054571057363124	1.9001146914927827	0.028709035060175612	0.03464485325041305
STK35	0.001959088534631712	1.8958109107593308	0.028992526303127087	0.03495883396679311
DIS3	0.0016757929355247464	1.8828785601915312	0.02985841368445586	0.035973992390910675
CLPX	0.0016481642673018763	1.8766240739064044	0.030284817738348853	0.03645844832064469
OGFR	0.001793650882028248	1.8722168063128517	0.03058830744394861	0.03679427519320201
ACVR1B	0.0020666178937238833	1.8674451970842108	0.03091972157314996	0.03716312689080524
PRMT1	0.0020961611476936147	1.8670571501012754	0.030946803712122307	0.0371658971722846
ODF2L	0.001935999707849857	1.8622183887062884	0.03128615673618131	0.037543388083417575
TAF1	0.0014801058554047648	1.8559408508231627	0.03173099470872533	0.03804675624547402
EED	0.0020441274518833348	1.8503094440096102	0.03213448113415375	0.03849977771663788
ADAM17	0.001947378299649435	1.847895276047132	0.03230874702881877	0.03867767002651888
CREB1	0.0017626892014407712	1.8469195819340214	0.03237939812232126	0.03873133746689146
MAN1B1	0.0019688517669330147	1.8451881012259865	0.03250509038962083	0.038850705644965136
R3HDM2	0.0019444583439116529	1.8389822955486266	0.03295889507660637	0.039361737750724164
ATPSCKMT	0.0022398744795994723	1.837618227867525	0.03305934046511819	0.039450286951215024
CAND1	0.001989283867914336	1.8340782098457549	0.03332119272736125	0.03973115190066921
NPAT	0.001711110380978277	1.831950071353415	0.03347942980845678	0.039888121296811095
NR1H2	0.001452935787629742	1.8148852314341766	0.034770774292284395	0.041393778919386184
MKRN2	0.001927136974882685	1.8061254153798658	0.03544937586653476	0.04216817113386371
CFDP1	0.0018189855700838152	1.803847491972293	0.03562760917732106	0.04234660361805197
MCM3AP	0.0016297951804777754	1.7965607924008034	0.03620268674733086	0.04299606502058297
FAF1	0.001754544319244071	1.7939410309417856	0.03641129075007199	0.04320960136480062
LONP1	0.001882136621044976	1.7853813419461635	0.0370997414750067	0.04399178831028462
CTCF	0.001975257387438791	1.782612198956129	0.037324726329619064	0.044223609395283255
NFX1	0.0018431445201473541	1.7624616541225753	0.038995664842146366	0.046166927595279836
KRAS	0.0019453178433706737	1.7578683740790293	0.03938495404798839	0.046591033968440526
CCDC91	0.0016281025292851704	1.7253021147188619	0.0422365205256932	0.04992496516039385
NUP98	0.0015494900699309924	1.7227401078829527	0.04246776691460061	0.05015877982039442
EIF3A	0.0017349108010852594	1.7212511044494871	0.04260263397467696	0.05027848226751804
API5	0.001671592614124016	1.6999250727648776	0.044572510044689186	0.05256192222251083
NAP1L4	0.0016145344586122915	1.6982117036446938	0.04473390620417097	0.05271080856736563
SLC25A11	0.001791753057343621	1.687387849728502	0.04576439930463486	0.05388273073544136
GPN2	0.0017720261873594417	1.675458989466254	0.04692210551001265	0.05520247707060312
PRKACA	0.0015449709940582022	1.6664718177412505	0.04780973843392946	0.05620267057280109
XPC	0.0014515867875257728	1.653734329691469	0.04909075209822059	0.05766337364708762
GLOD4	0.0018516123388597327	1.6513025324491148	0.049338407725038995	0.05790892925474061
YY1	0.0017825737158846566	1.6454756562792408	0.04993587941907428	0.058564362102119946
ZNF76	0.0015547074697744503	1.636557701588635	0.05086145992158755	0.0596032733456104
CCNY	0.001774813835655082	1.625776131420642	0.05199864384762442	0.06088834174194897
RNF121	0.001736384201428777	1.6196092257386692	0.05265812327078082	0.061612468725562586
FOXO3	0.0016215126160593148	1.614972430496968	0.05315833267975196	0.06214925878380978
WASL	0.0013351052448874355	1.6125387268632947	0.05342237986889999	0.062409322276752326
HEXIM1	0.0017826657724914969	1.601546171824321	0.05462800106170336	0.06376809462455645
NECTIN2	0.0015135628766628974	1.5972857704226924	0.055101010613051525	0.064270230108536
ALG2	0.0017463394187107178	1.5938589225465931	0.05548381832204973	0.06466645492080389
DAXX	0.0013537757252082012	1.5858128296011824	0.05639088724310608	0.06565592079444629
KXD1	0.001716237037041696	1.585553451875107	0.05642032126936085	0.06565592079444629
PTOV1	0.00165349711122887	1.5838425089411987	0.056614781510695225	0.06583114129150608
SS18	0.001581599805658762	1.5757480229761045	0.05754194264404984	0.06685740818441112
GNS	0.001467688082731998	1.5746162054007589	0.05767252998636774	0.0669572716559997
SMCHD1	0.0012843518927382021	1.5695641990699383	0.05825826644917007	0.06758499588070774
