dataset,dataset_label,sample_id,sample_short,marker,available,evidence_source,nonmissing_spots_or_cells,positive_spots_or_cells,note
GSE274657,GSE274657,GSM8454236_Patient_16,Patient_16,LAMP3,True,coverage_table+spot_expression_column,3649.0,109.0,
GSE274657,GSE274657,GSM8454236_Patient_16,Patient_16,CCR7,True,coverage_table+spot_expression_column,3649.0,10.0,
GSE274657,GSE274657,GSM8454236_Patient_16,Patient_16,CD40,True,coverage_table+spot_expression_column,3649.0,68.0,
GSE274657,GSE274657,GSM8454236_Patient_16,Patient_16,CD80,True,coverage_table+spot_expression_column,3649.0,17.0,
GSE274657,GSE274657,GSM8454236_Patient_16,Patient_16,CD86,True,coverage_table+spot_expression_column,3649.0,30.0,
GSE274657,GSE274657,GSM8454236_Patient_16,Patient_16,CD274,True,coverage_table+spot_expression_column,3649.0,29.0,
GSE274657,GSE274657,GSM8454236_Patient_16,Patient_16,PDCD1LG2,True,coverage_table+spot_expression_column,3649.0,9.0,
GSE274657,GSE274657,GSM8454237_Patient_17,Patient_17,ITGAX,True,coverage_table+spot_expression_column,3904.0,294.0,
GSE274657,GSE274657,GSM8454237_Patient_17,Patient_17,CD11C,False,coverage_table+spot_expression_column,0.0,0.0,CD11C is represented by ITGAX where gene-symbol-level expression was used.
GSE274657,GSE274657,GSM8454237_Patient_17,Patient_17,HLA-DRA,False,coverage_table+spot_expression_column,0.0,0.0,
GSE274657,GSE274657,GSM8454237_Patient_17,Patient_17,HLA-DRB1,False,coverage_table+spot_expression_column,0.0,0.0,
GSE274657,GSE274657,GSM8454237_Patient_17,Patient_17,HLA-DRB5,False,coverage_table+spot_expression_column,0.0,0.0,
GSE274657,GSE274657,GSM8454237_Patient_17,Patient_17,HLA-DQA1,False,coverage_table+spot_expression_column,0.0,0.0,
GSE274657,GSE274657,GSM8454237_Patient_17,Patient_17,HLA-DQB1,False,coverage_table+spot_expression_column,0.0,0.0,
GSE274657,GSE274657,GSM8454237_Patient_17,Patient_17,HLA-DPA1,False,coverage_table+spot_expression_column,0.0,0.0,
GSE274657,GSE274657,GSM8454237_Patient_17,Patient_17,HLA-DPB1,False,coverage_table+spot_expression_column,0.0,0.0,
GSE274657,GSE274657,GSM8454237_Patient_17,Patient_17,CD74,True,coverage_table+spot_expression_column,3904.0,3833.0,
GSE274657,GSE274657,GSM8454237_Patient_17,Patient_17,B2M,True,coverage_table+spot_expression_column,0.0,0.0,
GSE274657,GSE274657,GSM8454237_Patient_17,Patient_17,CIITA,True,coverage_table+spot_expression_column,0.0,0.0,
GSE274657,GSE274657,GSM8454237_Patient_17,Patient_17,NLRC5,False,coverage_table+spot_expression_column,0.0,0.0,
GSE274657,GSE274657,GSM8454237_Patient_17,Patient_17,LAMP3,True,coverage_table+spot_expression_column,3904.0,301.0,
GSE274657,GSE274657,GSM8454237_Patient_17,Patient_17,CCR7,True,coverage_table+spot_expression_column,3904.0,14.0,
GSE274657,GSE274657,GSM8454237_Patient_17,Patient_17,CD40,True,coverage_table+spot_expression_column,3904.0,427.0,
GSE274657,GSE274657,GSM8454237_Patient_17,Patient_17,CD80,True,coverage_table+spot_expression_column,3904.0,63.0,
GSE274657,GSE274657,GSM8454237_Patient_17,Patient_17,CD86,True,coverage_table+spot_expression_column,3904.0,160.0,
GSE274657,GSE274657,GSM8454237_Patient_17,Patient_17,CD274,True,coverage_table+spot_expression_column,3904.0,80.0,
GSE274657,GSE274657,GSM8454237_Patient_17,Patient_17,PDCD1LG2,True,coverage_table+spot_expression_column,3904.0,49.0,
GSE274657,GSE274657,GSM8454234_Patient_2,Patient_2,ITGAX,True,coverage_table+spot_expression_column,1193.0,1036.0,
GSE274657,GSE274657,GSM8454234_Patient_2,Patient_2,CD11C,False,coverage_table+spot_expression_column,0.0,0.0,CD11C is represented by ITGAX where gene-symbol-level expression was used.
GSE274657,GSE274657,GSM8454234_Patient_2,Patient_2,HLA-DRA,False,coverage_table+spot_expression_column,0.0,0.0,
GSE274657,GSE274657,GSM8454234_Patient_2,Patient_2,HLA-DRB1,False,coverage_table+spot_expression_column,0.0,0.0,
GSE274657,GSE274657,GSM8454234_Patient_2,Patient_2,HLA-DRB5,False,coverage_table+spot_expression_column,0.0,0.0,
GSE274657,GSE274657,GSM8454234_Patient_2,Patient_2,HLA-DQA1,False,coverage_table+spot_expression_column,0.0,0.0,
GSE274657,GSE274657,GSM8454234_Patient_2,Patient_2,HLA-DQB1,False,coverage_table+spot_expression_column,0.0,0.0,
GSE274657,GSE274657,GSM8454234_Patient_2,Patient_2,HLA-DPA1,False,coverage_table+spot_expression_column,0.0,0.0,
GSE274657,GSE274657,GSM8454234_Patient_2,Patient_2,HLA-DPB1,False,coverage_table+spot_expression_column,0.0,0.0,
GSE274657,GSE274657,GSM8454234_Patient_2,Patient_2,CD74,True,coverage_table+spot_expression_column,1193.0,1193.0,
GSE274657,GSE274657,GSM8454234_Patient_2,Patient_2,B2M,True,coverage_table+spot_expression_column,0.0,0.0,
GSE274657,GSE274657,GSM8454234_Patient_2,Patient_2,CIITA,True,coverage_table+spot_expression_column,0.0,0.0,
GSE274657,GSE274657,GSM8454234_Patient_2,Patient_2,NLRC5,False,coverage_table+spot_expression_column,0.0,0.0,
GSE274657,GSE274657,GSM8454234_Patient_2,Patient_2,LAMP3,True,coverage_table+spot_expression_column,1193.0,673.0,
GSE274657,GSE274657,GSM8454234_Patient_2,Patient_2,CCR7,True,coverage_table+spot_expression_column,1193.0,113.0,
GSE274657,GSE274657,GSM8454234_Patient_2,Patient_2,CD40,True,coverage_table+spot_expression_column,1193.0,1169.0,
GSE274657,GSE274657,GSM8454234_Patient_2,Patient_2,CD80,True,coverage_table+spot_expression_column,1193.0,372.0,
GSE274657,GSE274657,GSM8454234_Patient_2,Patient_2,CD86,True,coverage_table+spot_expression_column,1193.0,769.0,
GSE274657,GSE274657,GSM8454234_Patient_2,Patient_2,CD274,True,coverage_table+spot_expression_column,1193.0,492.0,
GSE274657,GSE274657,GSM8454234_Patient_2,Patient_2,PDCD1LG2,True,coverage_table+spot_expression_column,1193.0,352.0,
GSE288483,GSE288483,GSM8768686_Pt2-4,Pt2-4,ITGAX,True,coverage_table+spot_expression_column,2610.0,877.0,
GSE288483,GSE288483,GSM8768686_Pt2-4,Pt2-4,CD11C,False,coverage_table+spot_expression_column,0.0,0.0,CD11C is represented by ITGAX where gene-symbol-level expression was used.
GSE288483,GSE288483,GSM8768686_Pt2-4,Pt2-4,HLA-DRA,True,coverage_table+spot_expression_column,2610.0,2551.0,
GSE288483,GSE288483,GSM8768686_Pt2-4,Pt2-4,HLA-DRB1,True,coverage_table+spot_expression_column,0.0,0.0,
GSE288483,GSE288483,GSM8768686_Pt2-4,Pt2-4,HLA-DRB5,True,coverage_table+spot_expression_column,0.0,0.0,
GSE288483,GSE288483,GSM8768686_Pt2-4,Pt2-4,HLA-DQA1,True,coverage_table+spot_expression_column,0.0,0.0,
GSE288483,GSE288483,GSM8768686_Pt2-4,Pt2-4,HLA-DQB1,True,coverage_table+spot_expression_column,0.0,0.0,
