dataset,sample_id,TLS_decile,readout,value
GSE211956,GSM6506113_SP4,2,MHC-II-high fraction,0.0897009966777409
GSE211956,GSM6506113_SP4,2,TLS/mregDC co-high fraction,0
GSE211956,GSM6506113_SP4,3,median mregDC score,-0.0841228665370027
GSE211956,GSM6506113_SP4,3,median MHC-II score,-0.0352702364467891
GSE211956,GSM6506113_SP4,3,mregDC-high fraction,0.079734219269103
GSE211956,GSM6506113_SP4,3,MHC-II-high fraction,0.0897009966777409
GSE211956,GSM6506113_SP4,3,TLS/mregDC co-high fraction,0
GSE211956,GSM6506113_SP4,4,median mregDC score,-0.0847698488380786
GSE211956,GSM6506113_SP4,4,median MHC-II score,-0.0201300763734198
GSE211956,GSM6506113_SP4,4,mregDC-high fraction,0.0963455149501661
GSE211956,GSM6506113_SP4,4,MHC-II-high fraction,0.053156146179402
GSE211956,GSM6506113_SP4,4,TLS/mregDC co-high fraction,0
GSE211956,GSM6506113_SP4,5,median mregDC score,-0.0758086153762619
GSE211956,GSM6506113_SP4,5,median MHC-II score,-0.0149453035406924
GSE211956,GSM6506113_SP4,5,mregDC-high fraction,0.119601328903655
GSE211956,GSM6506113_SP4,5,MHC-II-high fraction,0.122923588039867
GSE211956,GSM6506113_SP4,5,TLS/mregDC co-high fraction,0
GSE211956,GSM6506113_SP4,6,median mregDC score,-0.0860580067294988
GSE211956,GSM6506113_SP4,6,median MHC-II score,0.0241874592262025
GSE211956,GSM6506113_SP4,6,mregDC-high fraction,0.0897009966777409
GSE211956,GSM6506113_SP4,6,MHC-II-high fraction,0.109634551495017
GSE211956,GSM6506113_SP4,6,TLS/mregDC co-high fraction,0
GSE211956,GSM6506113_SP4,7,median mregDC score,-0.0998337799189443
GSE211956,GSM6506113_SP4,7,median MHC-II score,0.0602898182563866
GSE211956,GSM6506113_SP4,7,mregDC-high fraction,0.0963455149501661
GSE211956,GSM6506113_SP4,7,MHC-II-high fraction,0.136212624584718
GSE211956,GSM6506113_SP4,7,TLS/mregDC co-high fraction,0
GSE211956,GSM6506113_SP4,8,median mregDC score,-0.0620347391657188
GSE211956,GSM6506113_SP4,8,median MHC-II score,0.0255835936720066
GSE211956,GSM6506113_SP4,8,mregDC-high fraction,0.07
GSE211956,GSM6506113_SP4,8,MHC-II-high fraction,0.12
GSE211956,GSM6506113_SP4,8,TLS/mregDC co-high fraction,0
GSE211956,GSM6506113_SP4,9,median mregDC score,-0.0416991658128513
GSE211956,GSM6506113_SP4,9,median MHC-II score,0.014880261451277
GSE211956,GSM6506113_SP4,9,mregDC-high fraction,0.103333333333333
GSE211956,GSM6506113_SP4,9,MHC-II-high fraction,0.12
GSE211956,GSM6506113_SP4,9,TLS/mregDC co-high fraction,0
GSE211956,GSM6506113_SP4,10,median mregDC score,-0.0595642238188975
GSE211956,GSM6506113_SP4,10,median MHC-II score,-0.0246794579287479
GSE211956,GSM6506113_SP4,10,mregDC-high fraction,0.13
GSE211956,GSM6506113_SP4,10,MHC-II-high fraction,0.11
GSE211956,GSM6506113_SP4,10,TLS/mregDC co-high fraction,0.13
GSE211956,GSM6506114_SP5,1,median mregDC score,-0.200631121655562
GSE211956,GSM6506114_SP5,1,median MHC-II score,-0.312139395409224
GSE211956,GSM6506114_SP5,1,mregDC-high fraction,0.0469483568075117
GSE211956,GSM6506114_SP5,1,MHC-II-high fraction,0.00469483568075117
GSE211956,GSM6506114_SP5,1,TLS/mregDC co-high fraction,0
GSE211956,GSM6506114_SP5,2,median mregDC score,-0.106858481639223
GSE211956,GSM6506114_SP5,2,median MHC-II score,-0.0238464946492958
GSE211956,GSM6506114_SP5,2,mregDC-high fraction,0.0563380281690141
GSE211956,GSM6506114_SP5,2,MHC-II-high fraction,0.0563380281690141
GSE211956,GSM6506114_SP5,2,TLS/mregDC co-high fraction,0
GSE211956,GSM6506114_SP5,3,median mregDC score,-0.0853914424580987
GSE211956,GSM6506114_SP5,3,median MHC-II score,-0.0131649157196767
GSE211956,GSM6506114_SP5,3,mregDC-high fraction,0.0469483568075117
GSE211956,GSM6506114_SP5,3,MHC-II-high fraction,0.0563380281690141
GSE211956,GSM6506114_SP5,3,TLS/mregDC co-high fraction,0
GSE211956,GSM6506114_SP5,4,median mregDC score,-0.0285912720838246
GSE211956,GSM6506114_SP5,4,median MHC-II score,0.0811921964610971
GSE211956,GSM6506114_SP5,4,mregDC-high fraction,0.0328638497652582
GSE211956,GSM6506114_SP5,4,MHC-II-high fraction,0.0985915492957746
GSE211956,GSM6506114_SP5,4,TLS/mregDC co-high fraction,0
GSE211956,GSM6506114_SP5,5,median mregDC score,-0.0476685228105492
GSE211956,GSM6506114_SP5,5,median MHC-II score,0.0860352347453798
GSE211956,GSM6506114_SP5,5,mregDC-high fraction,0.0754716981132076
GSE211956,GSM6506114_SP5,5,MHC-II-high fraction,0.0990566037735849
GSE211956,GSM6506114_SP5,5,TLS/mregDC co-high fraction,0
GSE211956,GSM6506114_SP5,6,median mregDC score,-0.012480790847876
GSE211956,GSM6506114_SP5,6,median MHC-II score,0.109132985693512
GSE211956,GSM6506114_SP5,6,mregDC-high fraction,0.089622641509434
GSE211956,GSM6506114_SP5,6,MHC-II-high fraction,0.117924528301887
GSE211956,GSM6506114_SP5,6,TLS/mregDC co-high fraction,0
GSE211956,GSM6506114_SP5,7,median mregDC score,-0.0351212824447208
GSE211956,GSM6506114_SP5,7,median MHC-II score,0.145483605895919
GSE211956,GSM6506114_SP5,7,mregDC-high fraction,0.0707547169811321
GSE211956,GSM6506114_SP5,7,MHC-II-high fraction,0.150943396226415
GSE211956,GSM6506114_SP5,7,TLS/mregDC co-high fraction,0
GSE211956,GSM6506114_SP5,8,median mregDC score,0.0181874059955661
GSE211956,GSM6506114_SP5,8,median MHC-II score,0.219244433520225
GSE211956,GSM6506114_SP5,8,mregDC-high fraction,0.122641509433962
GSE211956,GSM6506114_SP5,8,MHC-II-high fraction,0.179245283018868
GSE211956,GSM6506114_SP5,8,TLS/mregDC co-high fraction,0
GSE211956,GSM6506114_SP5,9,median mregDC score,0.0550013759858337
GSE211956,GSM6506114_SP5,9,median MHC-II score,0.113090612248703
GSE211956,GSM6506114_SP5,9,mregDC-high fraction,0.113207547169811
GSE211956,GSM6506114_SP5,9,MHC-II-high fraction,0.136792452830189
GSE211956,GSM6506114_SP5,9,TLS/mregDC co-high fraction,0.00471698113207547
GSE211956,GSM6506114_SP5,10,median mregDC score,0.235376023909288
GSE211956,GSM6506114_SP5,10,median MHC-II score,0.11489713265766
GSE211956,GSM6506114_SP5,10,mregDC-high fraction,0.349056603773585
GSE211956,GSM6506114_SP5,10,MHC-II-high fraction,0.10377358490566
GSE211956,GSM6506114_SP5,10,TLS/mregDC co-high fraction,0.349056603773585
GSE211956,GSM6506115_SP6,1,median mregDC score,-0.0102417223946502
GSE211956,GSM6506115_SP6,1,median MHC-II score,-0.330133400936467
GSE211956,GSM6506115_SP6,1,mregDC-high fraction,0.0441988950276243
GSE211956,GSM6506115_SP6,1,MHC-II-high fraction,0.0276243093922652
GSE211956,GSM6506115_SP6,1,TLS/mregDC co-high fraction,0
GSE211956,GSM6506115_SP6,2,median mregDC score,-0.0623664104958954
GSE211956,GSM6506115_SP6,2,median MHC-II score,-0.19970294255812
GSE211956,GSM6506115_SP6,2,mregDC-high fraction,0.0666666666666667
GSE211956,GSM6506115_SP6,2,MHC-II-high fraction,0.0277777777777778
GSE211956,GSM6506115_SP6,2,TLS/mregDC co-high fraction,0
GSE211956,GSM6506115_SP6,3,median mregDC score,-0.0602946701792417
GSE211956,GSM6506115_SP6,3,median MHC-II score,-0.210467133613895
GSE211956,GSM6506115_SP6,3,mregDC-high fraction,0.1
GSE211956,GSM6506115_SP6,3,MHC-II-high fraction,0.0444444444444444
GSE211956,GSM6506115_SP6,3,TLS/mregDC co-high fraction,0
GSE211956,GSM6506115_SP6,4,median mregDC score,-0.0518253613687889
GSE211956,GSM6506115_SP6,4,median MHC-II score,-0.144561625805073
GSE211956,GSM6506115_SP6,4,mregDC-high fraction,0.0833333333333333
GSE211956,GSM6506115_SP6,4,MHC-II-high fraction,0.0444444444444444
GSE211956,GSM6506115_SP6,4,TLS/mregDC co-high fraction,0
GSE211956,GSM6506115_SP6,5,median mregDC score,-0.0728341870149455
GSE211956,GSM6506115_SP6,5,median MHC-II score,-0.155121002459174
GSE211956,GSM6506115_SP6,5,mregDC-high fraction,0.0722222222222222
GSE211956,GSM6506115_SP6,5,MHC-II-high fraction,0.0555555555555556
GSE211956,GSM6506115_SP6,5,TLS/mregDC co-high fraction,0
GSE211956,GSM6506115_SP6,6,median mregDC score,-0.0857225201597666
GSE211956,GSM6506115_SP6,6,median MHC-II score,-0.106472304643002
GSE211956,GSM6506115_SP6,6,mregDC-high fraction,0.0777777777777778
GSE211956,GSM6506115_SP6,6,MHC-II-high fraction,0.0722222222222222
GSE211956,GSM6506115_SP6,6,TLS/mregDC co-high fraction,0
GSE211956,GSM6506115_SP6,7,median mregDC score,-0.0553950204132538
GSE211956,GSM6506115_SP6,7,median MHC-II score,-0.127222411849129
GSE211956,GSM6506115_SP6,7,mregDC-high fraction,0.111111111111111
GSE211956,GSM6506115_SP6,7,MHC-II-high fraction,0.0833333333333333
GSE211956,GSM6506115_SP6,7,TLS/mregDC co-high fraction,0
GSE211956,GSM6506115_SP6,8,median mregDC score,-0.0431675479911099
GSE211956,GSM6506115_SP6,8,median MHC-II score,-0.00433591202117739
GSE211956,GSM6506115_SP6,8,mregDC-high fraction,0.0833333333333333
GSE211956,GSM6506115_SP6,8,MHC-II-high fraction,0.133333333333333
GSE211956,GSM6506115_SP6,8,TLS/mregDC co-high fraction,0
GSE211956,GSM6506115_SP6,9,median mregDC score,-0.0776361270744198
GSE211956,GSM6506115_SP6,9,median MHC-II score,0.19409325918134
