field_id,grid_x,grid_y,x,y,TLS_grid_mean,n_cells,n_tls_high_cells,n_cohigh_cells
29,192,9,6750.470833778381,353.8965606689453,0.22133309285734126,11,2,1
16,224,9,7870.470833778381,353.8965606689453,0.15558828924241483,3,2,0
16,225,9,7905.470833778381,353.8965606689453,0.276396532685766,8,3,0
16,226,9,7940.470833778381,353.8965606689453,0.3934077490891719,9,4,1
16,228,9,8010.470833778381,353.8965606689453,0.23662947758116895,8,2,1
16,229,9,8045.470833778381,353.8965606689453,0.9118742665050691,6,4,1
32,161,10,5665.470833778381,388.8965606689453,0.280111406296238,4,2,0
29,191,10,6715.470833778381,388.8965606689453,0.32139855490345104,9,4,0
29,192,10,6750.470833778381,388.8965606689453,0.28067454764056765,9,5,0
16,223,10,7835.470833778381,388.8965606689453,0.4575519762794915,8,6,2
16,224,10,7870.470833778381,388.8965606689453,0.28025754204677633,9,3,0
33,157,11,5525.470833778381,423.8965606689453,0.17696039902147834,3,2,0
32,160,11,5630.470833778381,423.8965606689453,0.15700600193774591,4,2,0
34,194,11,6820.470833778381,423.8965606689453,0.20062858293080293,11,4,0
35,214,11,7520.470833778381,423.8965606689453,0.2180152530997567,9,2,0
16,223,11,7835.470833778381,423.8965606689453,0.14606592827192497,9,2,0
16,224,11,7870.470833778381,423.8965606689453,0.6001987474074421,7,3,1
16,225,11,7905.470833778381,423.8965606689453,0.6495788418169288,8,4,1
16,226,11,7940.470833778381,423.8965606689453,0.24465343665118203,8,2,0
16,227,11,7975.470833778381,423.8965606689453,0.22074342797014884,10,3,0
36,108,12,3810.4708337783813,458.8965606689453,0.22610979894530184,9,3,0
33,156,12,5490.470833778381,458.8965606689453,0.1704546460067233,9,6,0
33,157,12,5525.470833778381,458.8965606689453,0.20055474452918962,7,2,0
32,159,12,5595.470833778381,458.8965606689453,0.18808689318294647,6,3,0
32,160,12,5630.470833778381,458.8965606689453,0.18964746354501613,3,1,0
34,190,12,6680.470833778381,458.8965606689453,0.2262355641716888,10,1,0
34,191,12,6715.470833778381,458.8965606689453,0.4762340135848927,8,5,0
34,193,12,6785.470833778381,458.8965606689453,0.14698101108990033,8,3,0
34,195,12,6855.470833778381,458.8965606689453,0.3328230676205321,14,6,0
34,196,12,6890.470833778381,458.8965606689453,0.23516127014537572,9,4,1
34,197,12,6925.470833778381,458.8965606689453,0.21715385675957158,13,6,0
34,198,12,6960.470833778381,458.8965606689453,0.6700830351997148,8,4,0
34,199,12,6995.470833778381,458.8965606689453,0.18958838243695306,9,3,0
35,213,12,7485.470833778381,458.8965606689453,0.15230509786152144,9,5,1
16,222,12,7800.470833778381,458.8965606689453,0.17986766686963968,7,1,1
16,223,12,7835.470833778381,458.8965606689453,0.4128274151737673,9,4,0
16,225,12,7905.470833778381,458.8965606689453,0.3524847834491366,5,2,0
16,226,12,7940.470833778381,458.8965606689453,0.6798923169797001,8,6,2
36,107,13,3775.4708337783813,493.8965606689453,0.2890236829122584,5,2,1
33,156,13,5490.470833778381,493.8965606689453,0.21978739983471393,7,4,0
32,159,13,5595.470833778381,493.8965606689453,0.34353905202917695,7,5,0
32,160,13,5630.470833778381,493.8965606689453,0.16361809581091816,6,3,1
34,192,13,6750.470833778381,493.8965606689453,0.21034828903491934,11,2,0
35,213,13,7485.470833778381,493.8965606689453,0.2420249855033311,11,6,1
16,222,13,7800.470833778381,493.8965606689453,0.18936734924245918,4,3,1
45,105,14,3705.4708337783813,528.8965606689453,0.3091531450401288,6,1,0
32,158,14,5560.470833778381,528.8965606689453,0.14948859346922722,10,5,0
34,191,14,6715.470833778381,528.8965606689453,0.46795031640960943,5,2,0
16,221,14,7765.470833778381,528.8965606689453,0.2067563567674668,11,2,0
45,106,15,3740.4708337783813,563.8965606689453,0.6115185430486222,3,2,1
54,197,15,6925.470833778381,563.8965606689453,0.16536260763209937,17,3,0
54,198,16,6960.470833778381,598.8965606689453,0.1780901174057983,12,5,1
61,140,17,4930.470833778381,633.8965606689453,0.37812510903200236,5,2,0
61,141,17,4965.470833778381,633.8965606689453,0.32724342255163147,12,4,0
54,198,17,6960.470833778381,633.8965606689453,0.20416122468842096,11,3,0
65,133,18,4685.470833778381,668.8965606689453,0.5289596325783272,9,4,0
65,134,18,4720.470833778381,668.8965606689453,0.22548280389894368,6,3,0
66,172,18,6050.470833778381,668.8965606689453,0.2929021633795622,10,3,0
54,198,18,6960.470833778381,668.8965606689453,0.17312387871216622,5,1,0
65,133,19,4685.470833778381,703.8965606689453,0.23141022873524747,8,4,0
65,135,19,4755.470833778381,703.8965606689453,0.18078882395558696,12,5,2
66,172,19,6050.470833778381,703.8965606689453,0.1559427940404519,11,2,0
69,215,19,7555.470833778381,703.8965606689453,0.341376259222027,7,1,0
69,216,19,7590.470833778381,703.8965606689453,0.33744163178132947,7,1,0
72,137,20,4825.470833778381,738.8965606689453,0.15412439500982905,15,2,1
72,138,20,4860.470833778381,738.8965606689453,0.20310335826209513,12,1,1
73,163,20,5735.470833778381,738.8965606689453,0.26067224621286494,11,3,0
